Bureau of Justice Statistics,
Filename: ardpdqpf2.3.csv,
"Figure 2.3. Arrest-related deaths data collection schedule, 2011",
Report Title: Arrest-Related Deaths Program Data Quality Profile,
Data Source(s): Arrest-Related Death Program,
Author(s): Michael Planty and Andrea M. Burch,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,
Date of version: 3/3/2015,
,
,
Annual,49
Quarterly,28
Semiannual,9
Adhoc,9
Monthly,6
Note: Detail may not sum to total due to rounding. Four states did not report data in 2011.,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program, 2011.",
